Strategy,Model,Fold,Test_Acc,Test_F1,Test_Participant,Test_Participants
Stratified,Contrastive_SDCNet,single,0.957481162540366,0.955732904907931,,
LOSO,Contrastive_SDCNet,1,0.8351293103448276,0.8251353036975783,01,
LOSO,Contrastive_SDCNet,2,0.7424242424242424,0.7623765702066735,02,
LOSO,Contrastive_SDCNet,3,0.8797327394209354,0.8744754243170378,03,
LOSO,Contrastive_SDCNet,4,0.8053475935828877,0.799145293671797,04,
LOSO,Contrastive_SDCNet,5,0.786540483701367,0.7801628197329413,05,
LOSO,Contrastive_SDCNet,6,0.9123931623931624,0.9088153542428287,06,
LOSO,Contrastive_SDCNet,7,0.8789531079607416,0.8712122629196726,07,
LOSO,Contrastive_SDCNet,8,0.7948164146868251,0.7948118512512069,08,
LOSO,Contrastive_SDCNet,9,0.8656215005599104,0.858430803233759,09,
LOSO,Contrastive_SDCNet,10,0.8356456776947705,0.8073475774742408,10,
LOSO,Contrastive_SDCNet,11,0.880901287553648,0.8816590371804037,11,
LOSO,Contrastive_SDCNet,12,0.9601328903654485,0.9563841316650376,12,
LOSO,Contrastive_SDCNet,13,0.9106566200215285,0.9148824860443784,13,
LOSO,Contrastive_SDCNet,14,0.8631256384065373,0.8692517621055348,14,
LOSO,Contrastive_SDCNet,15,0.9052744886975242,0.911309893962652,15,
LOSO,Contrastive_SDCNet,16,0.9028511087645196,0.8947011482799271,16,
LOSO,Contrastive_SDCNet,17,0.9377049180327869,0.9439435709318973,17,
LOSO,Contrastive_SDCNet,18,0.8438538205980066,0.84369063761465,18,
LOSO,Contrastive_SDCNet,19,0.897119341563786,0.8881445157982558,19,
LOSO,Contrastive_SDCNet,20,0.9405405405405406,0.9440121919209984,20,
LOGO,Contrastive_SDCNet,1,0.8570914326853851,0.8523288617663459,,"[np.str_('01'), np.str_('18'), np.str_('16')]"
LOGO,Contrastive_SDCNet,2,0.8492553577915002,0.8471556037422546,,"[np.str_('02'), np.str_('09'), np.str_('06')]"
LOGO,Contrastive_SDCNet,3,0.8701067615658363,0.8713595066121586,,"[np.str_('12'), np.str_('04'), np.str_('19')]"
LOGO,Contrastive_SDCNet,4,0.8746418338108882,0.8741593348408174,,"[np.str_('17'), np.str_('14'), np.str_('03')]"
LOGO,Contrastive_SDCNet,5,0.8418059011731248,0.8323587414024645,,"[np.str_('10'), np.str_('20'), np.str_('05')]"
