Strategy,Model,Fold,Test_Acc,Test_F1,Test_Participant,Test_Participants
Stratified,Contrastive_SDCNet,single,0.9453713670613563,0.9431105565299203,,
LOSO,Contrastive_SDCNet,1,0.8620689655172413,0.8599570908549149,01,
LOSO,Contrastive_SDCNet,2,0.7121212121212122,0.7255483863417634,02,
LOSO,Contrastive_SDCNet,3,0.8953229398663697,0.8919471991125419,03,
LOSO,Contrastive_SDCNet,4,0.758288770053476,0.7504227724519623,04,
LOSO,Contrastive_SDCNet,5,0.7287066246056783,0.7232241789168276,05,
LOSO,Contrastive_SDCNet,6,0.9027777777777778,0.8951221080718154,06,
LOSO,Contrastive_SDCNet,7,0.8767720828789531,0.8729108063296724,07,
LOSO,Contrastive_SDCNet,8,0.7710583153347732,0.7698728899595131,08,
LOSO,Contrastive_SDCNet,9,0.864501679731243,0.8569904692401688,09,
LOSO,Contrastive_SDCNet,10,0.7972251867662753,0.7594575646417269,10,
LOSO,Contrastive_SDCNet,11,0.8916309012875536,0.8980895587989449,11,
LOSO,Contrastive_SDCNet,12,0.9401993355481728,0.9407964620827722,12,
LOSO,Contrastive_SDCNet,13,0.9095801937567277,0.9168818523777672,13,
LOSO,Contrastive_SDCNet,14,0.8447395301327886,0.8454402171611172,14,
LOSO,Contrastive_SDCNet,15,0.8805166846071044,0.8804416018247245,15,
LOSO,Contrastive_SDCNet,16,0.9218585005279831,0.9123014449635787,16,
LOSO,Contrastive_SDCNet,17,0.9027322404371585,0.9111281723629077,17,
LOSO,Contrastive_SDCNet,18,0.831672203765227,0.8198527913858561,18,
LOSO,Contrastive_SDCNet,19,0.8703703703703703,0.8608562278223436,19,
LOSO,Contrastive_SDCNet,20,0.8767567567567568,0.8829271223564598,20,
LOGO,Contrastive_SDCNet,1,0.8473722102231821,0.8422275753962474,,"[np.str_('01'), np.str_('18'), np.str_('16')]"
LOGO,Contrastive_SDCNet,2,0.6810751907010534,0.6998060691971735,,"[np.str_('02'), np.str_('09'), np.str_('06')]"
LOGO,Contrastive_SDCNet,3,0.8565836298932384,0.8560140619682345,,"[np.str_('12'), np.str_('04'), np.str_('19')]"
LOGO,Contrastive_SDCNet,4,0.8853868194842407,0.8873253689990909,,"[np.str_('17'), np.str_('14'), np.str_('03')]"
LOGO,Contrastive_SDCNet,5,0.8080341272662638,0.7976609608591915,,"[np.str_('10'), np.str_('20'), np.str_('05')]"
