Strategy,Model,Fold,Test_Acc,Test_F1,Test_Participant,Test_Participants
Stratified,Contrastive_SDCNet,single,0.9179224973089344,0.9174338935135595,,
LOSO,Contrastive_SDCNet,1,0.7209051724137931,0.7260956897304176,01,
LOSO,Contrastive_SDCNet,2,0.6666666666666666,0.6975620363052903,02,
LOSO,Contrastive_SDCNet,3,0.8418708240534521,0.8394915385806874,03,
LOSO,Contrastive_SDCNet,4,0.7732620320855615,0.7639585458704463,04,
LOSO,Contrastive_SDCNet,5,0.7402733964248159,0.7367383350446022,05,
LOSO,Contrastive_SDCNet,6,0.8344017094017094,0.831063924144118,06,
LOSO,Contrastive_SDCNet,7,0.787350054525627,0.7690195900029707,07,
LOSO,Contrastive_SDCNet,8,0.7062634989200864,0.7070767425870548,08,
LOSO,Contrastive_SDCNet,9,0.7502799552071668,0.7635941385187115,09,
LOSO,Contrastive_SDCNet,10,0.7406616862326574,0.7152772605776662,10,
LOSO,Contrastive_SDCNet,11,0.7854077253218884,0.789232498444318,11,
LOSO,Contrastive_SDCNet,12,0.9579180509413068,0.9584480097556266,12,
LOSO,Contrastive_SDCNet,13,0.8579117330462863,0.8641354344121522,13,
LOSO,Contrastive_SDCNet,14,0.8110316649642493,0.8147970344182229,14,
LOSO,Contrastive_SDCNet,15,0.7911733046286329,0.7954995928399863,15,
LOSO,Contrastive_SDCNet,16,0.7993664202745512,0.7926701463426634,16,
LOSO,Contrastive_SDCNet,17,0.8448087431693989,0.8545772330265166,17,
LOSO,Contrastive_SDCNet,18,0.7641196013289037,0.7490077567479215,18,
LOSO,Contrastive_SDCNet,19,0.8580246913580247,0.8584925705322725,19,
LOSO,Contrastive_SDCNet,20,0.9059459459459459,0.9131854807580817,20,
LOGO,Contrastive_SDCNet,1,0.7994960403167747,0.7998657496076054,,"[np.str_('01'), np.str_('18'), np.str_('16')]"
LOGO,Contrastive_SDCNet,2,0.7359244460588449,0.7451497600473167,,"[np.str_('02'), np.str_('09'), np.str_('06')]"
LOGO,Contrastive_SDCNet,3,0.8135231316725978,0.8141424402327345,,"[np.str_('12'), np.str_('04'), np.str_('19')]"
LOGO,Contrastive_SDCNet,4,0.8241404011461319,0.8312305203139254,,"[np.str_('17'), np.str_('14'), np.str_('03')]"
LOGO,Contrastive_SDCNet,5,0.7657305367934589,0.76569217621983,,"[np.str_('10'), np.str_('20'), np.str_('05')]"
