Strategy,Model,Fold,Test_Acc,Test_F1,Test_Participant,Test_Participants
Stratified,Contrastive_SDCNet,single,0.9082346609257266,0.9090615012422966,,
LOSO,Contrastive_SDCNet,1,0.7877155172413793,0.7790721835963903,01,
LOSO,Contrastive_SDCNet,2,0.6774891774891775,0.7055971153320179,02,
LOSO,Contrastive_SDCNet,3,0.8418708240534521,0.8374091749949231,03,
LOSO,Contrastive_SDCNet,4,0.7219251336898396,0.7136687491220198,04,
LOSO,Contrastive_SDCNet,5,0.7486855941114616,0.7427559111206757,05,
LOSO,Contrastive_SDCNet,6,0.8173076923076923,0.808780279469499,06,
LOSO,Contrastive_SDCNet,7,0.797164667393675,0.7879852205990868,07,
LOSO,Contrastive_SDCNet,8,0.7311015118790497,0.7339160407963635,08,
LOSO,Contrastive_SDCNet,9,0.8398656215005599,0.8409590493775466,09,
LOSO,Contrastive_SDCNet,10,0.7086446104589115,0.6777343371823497,10,
LOSO,Contrastive_SDCNet,11,0.842274678111588,0.8443917386275833,11,
LOSO,Contrastive_SDCNet,12,0.9246954595791805,0.9279945652900906,12,
LOSO,Contrastive_SDCNet,13,0.8546824542518837,0.8633397231492207,13,
LOSO,Contrastive_SDCNet,14,0.7997957099080695,0.816721295323155,14,
LOSO,Contrastive_SDCNet,15,0.8546824542518837,0.8556245017578479,15,
LOSO,Contrastive_SDCNet,16,0.8637803590285111,0.8518723236145828,16,
LOSO,Contrastive_SDCNet,17,0.8896174863387978,0.8866941787943005,17,
LOSO,Contrastive_SDCNet,18,0.8416389811738649,0.8362318421154676,18,
LOSO,Contrastive_SDCNet,19,0.8878600823045267,0.8825762133082636,19,
LOSO,Contrastive_SDCNet,20,0.9113513513513514,0.9181727106376298,20,
LOGO,Contrastive_SDCNet,1,0.7951763858891289,0.7938400413340178,,"[np.str_('01'), np.str_('18'), np.str_('16')]"
LOGO,Contrastive_SDCNet,2,0.7962223029422448,0.8021809738053501,,"[np.str_('02'), np.str_('09'), np.str_('06')]"
LOGO,Contrastive_SDCNet,3,0.8185053380782918,0.8257896797165193,,"[np.str_('12'), np.str_('04'), np.str_('19')]"
LOGO,Contrastive_SDCNet,4,0.8287965616045845,0.8387902493937389,,"[np.str_('17'), np.str_('14'), np.str_('03')]"
LOGO,Contrastive_SDCNet,5,0.7266263775328831,0.7264928797823043,,"[np.str_('10'), np.str_('20'), np.str_('05')]"
