Strategy,Model,Fold,Test_Acc,Test_F1,Test_Participant,Test_Participants
Stratified,Contrastive_SDCNet,single,0.9451022604951561,0.9420542916576117,,
LOSO,Contrastive_SDCNet,1,0.8351293103448276,0.828060654065293,01,
LOSO,Contrastive_SDCNet,2,0.7132034632034632,0.7259949267073488,02,
LOSO,Contrastive_SDCNet,3,0.876391982182628,0.8713647311821758,03,
LOSO,Contrastive_SDCNet,4,0.8053475935828877,0.7964145300539428,04,
LOSO,Contrastive_SDCNet,5,0.8096740273396424,0.8055734376212191,05,
LOSO,Contrastive_SDCNet,6,0.907051282051282,0.9077310283537129,06,
LOSO,Contrastive_SDCNet,7,0.8767720828789531,0.8690193191306789,07,
LOSO,Contrastive_SDCNet,8,0.7732181425485961,0.7723417539774885,08,
LOSO,Contrastive_SDCNet,9,0.8208286674132139,0.8092623703569887,09,
LOSO,Contrastive_SDCNet,10,0.8121664887940235,0.7699690074398737,10,
LOSO,Contrastive_SDCNet,11,0.9002145922746781,0.9058666183630634,11,
LOSO,Contrastive_SDCNet,12,0.9446290143964563,0.9467665480826247,12,
LOSO,Contrastive_SDCNet,13,0.8934337997847147,0.8981988650860225,13,
LOSO,Contrastive_SDCNet,14,0.8283963227783453,0.8344569655761654,14,
LOSO,Contrastive_SDCNet,15,0.8772874058127018,0.8741576686588335,15,
LOSO,Contrastive_SDCNet,16,0.8986272439281943,0.8897708527569271,16,
LOSO,Contrastive_SDCNet,17,0.9540983606557377,0.9583274508000322,17,
LOSO,Contrastive_SDCNet,18,0.8449612403100775,0.8389118393872668,18,
LOSO,Contrastive_SDCNet,19,0.8631687242798354,0.8584905498932242,19,
LOSO,Contrastive_SDCNet,20,0.96,0.9623770400504386,20,
LOGO,Contrastive_SDCNet,1,0.8768898488120951,0.8721399184642901,,"[np.str_('01'), np.str_('18'), np.str_('16')]"
LOGO,Contrastive_SDCNet,2,0.8118416273156557,0.8161744937615788,,"[np.str_('02'), np.str_('09'), np.str_('06')]"
LOGO,Contrastive_SDCNet,3,0.8316725978647687,0.8319042969567739,,"[np.str_('12'), np.str_('04'), np.str_('19')]"
LOGO,Contrastive_SDCNet,4,0.8803724928366762,0.8804389343210487,,"[np.str_('17'), np.str_('14'), np.str_('03')]"
LOGO,Contrastive_SDCNet,5,0.8282971916103804,0.817686548850674,,"[np.str_('10'), np.str_('20'), np.str_('05')]"
