Strategy,Model,N_Folds,Mean_Accuracy,Std_Accuracy,Mean_F1,Std_F1,Mean_Loss
Stratified,SDCNet,1,0.9518299246501615,,0.952102754323644,,0.1584778307236338
LOSO,SDCNet,20,0.8149713858769058,0.08979634166184321,0.8131981342197733,0.09221816085993317,0.7203926148663922
LOGO,SDCNet,5,0.8092743886327194,0.043191780935207466,0.8097265263698118,0.042270630169641256,0.740926330672983
