Strategy,Model,Fold,Test_Acc,Test_F1,Test_Loss,Test_Participant,Test_Participants
Stratified,SDCNet,single,0.9518299246501615,0.952102754323644,0.1584778307236338,,
LOSO,SDCNet,1,0.7952586206896551,0.8004974947238858,0.759278326841264,01,
LOSO,SDCNet,2,0.7218614718614719,0.7241517967094416,1.302671133697807,02,
LOSO,SDCNet,3,0.8329621380846325,0.8354031702183203,0.5762488812681097,03,
LOSO,SDCNet,4,0.7433155080213903,0.718524959889296,1.0476565873300168,04,
LOSO,SDCNet,5,0.6540483701366983,0.6477603871611123,1.569183335444654,05,
LOSO,SDCNet,6,0.8493589743589743,0.8506241192363522,0.43629711656234205,06,
LOSO,SDCNet,7,0.8375136314067612,0.8327368563169525,0.509446632706092,07,
LOSO,SDCNet,8,0.6511879049676026,0.6465376361224618,1.8518387629423234,08,
LOSO,SDCNet,9,0.8376259798432251,0.8405188687271719,0.5243882006253267,09,
LOSO,SDCNet,10,0.6606189967982924,0.6583468070095824,1.1301506292094798,10,
LOSO,SDCNet,11,0.8497854077253219,0.8511567756319547,0.5086922880717805,11,
LOSO,SDCNet,12,0.9678848283499446,0.9677443097532642,0.11298525563340917,12,
LOSO,SDCNet,13,0.8923573735199138,0.8924490379107523,0.555718164009619,13,
LOSO,SDCNet,14,0.81511746680286,0.8099271019194347,0.7937487962753706,14,
LOSO,SDCNet,15,0.7911733046286329,0.7870168523781581,0.6767567303693333,15,
LOSO,SDCNet,16,0.8901795142555439,0.8901887131781391,0.36826173755819214,16,
LOSO,SDCNet,17,0.8754098360655738,0.877096286454999,0.3468028418760482,17,
LOSO,SDCNet,18,0.832779623477298,0.8319164616979918,0.5384153925699253,18,
LOSO,SDCNet,19,0.852880658436214,0.8537272641404899,0.62269975284858,19,
LOSO,SDCNet,20,0.9481081081081081,0.9476377852157062,0.17661173148816955,20,
LOGO,SDCNet,1,0.8412526997840173,0.8418613079213911,0.6061758926048435,,"[np.str_('01'), np.str_('18'), np.str_('16')]"
LOGO,SDCNet,2,0.7591718125681075,0.7610040202121634,0.9191876878245415,,"[np.str_('02'), np.str_('09'), np.str_('06')]"
LOGO,SDCNet,3,0.8195729537366548,0.8172963397839673,0.6865503249118218,,"[np.str_('12'), np.str_('04'), np.str_('19')]"
LOGO,SDCNet,4,0.8567335243553008,0.8569129612250146,0.5434921725413276,,"[np.str_('17'), np.str_('14'), np.str_('03')]"
LOGO,SDCNet,5,0.7696409527195165,0.7715580027065221,0.9492255754823807,,"[np.str_('10'), np.str_('20'), np.str_('05')]"
