Strategy,Model,Fold,Test_Acc,Test_F1,Test_Participant,Test_Participants
Stratified,Contrastive_SDCNet,single,0.9631324004305705,0.9614911300613925,,
LOSO,Contrastive_SDCNet,1,0.8157327586206896,0.8036015630291552,01,
LOSO,Contrastive_SDCNet,2,0.7748917748917749,0.7793582593939944,02,
LOSO,Contrastive_SDCNet,3,0.8919821826280624,0.8868801156377512,03,
LOSO,Contrastive_SDCNet,4,0.825668449197861,0.8250910128720411,04,
LOSO,Contrastive_SDCNet,5,0.8065194532071503,0.7992616595407309,05,
LOSO,Contrastive_SDCNet,6,0.9155982905982906,0.9097272406666518,06,
LOSO,Contrastive_SDCNet,7,0.8735005452562704,0.8645088616258173,07,
LOSO,Contrastive_SDCNet,8,0.7861771058315334,0.7836159797466403,08,
LOSO,Contrastive_SDCNet,9,0.8846584546472565,0.8743224207989496,09,
LOSO,Contrastive_SDCNet,10,0.8388473852721452,0.8085277445755854,10,
LOSO,Contrastive_SDCNet,11,0.9152360515021459,0.9176424271202189,11,
LOSO,Contrastive_SDCNet,12,0.9634551495016611,0.9642308692183154,12,
LOSO,Contrastive_SDCNet,13,0.9203444564047363,0.9207406473268915,13,
LOSO,Contrastive_SDCNet,14,0.856996935648621,0.8571752887852022,14,
LOSO,Contrastive_SDCNet,15,0.9332615715823466,0.93519009750383,15,
LOSO,Contrastive_SDCNet,16,0.9408658922914467,0.9319027708845654,16,
LOSO,Contrastive_SDCNet,17,0.9289617486338798,0.9284916900399848,17,
LOSO,Contrastive_SDCNet,18,0.8959025470653378,0.8958913929221803,18,
LOSO,Contrastive_SDCNet,19,0.9012345679012346,0.8948284789358044,19,
LOSO,Contrastive_SDCNet,20,0.9654054054054054,0.9682256086206075,20,
LOGO,Contrastive_SDCNet,1,0.865370770338373,0.8606872819423524,,"[np.str_('01'), np.str_('18'), np.str_('16')]"
LOGO,Contrastive_SDCNet,2,0.8430802760624773,0.8426591416218984,,"[np.str_('02'), np.str_('09'), np.str_('06')]"
LOGO,Contrastive_SDCNet,3,0.8647686832740213,0.8609230957889024,,"[np.str_('12'), np.str_('04'), np.str_('19')]"
LOGO,Contrastive_SDCNet,4,0.8914756446991404,0.8892957975641219,,"[np.str_('17'), np.str_('14'), np.str_('03')]"
LOGO,Contrastive_SDCNet,5,0.8602915037326697,0.8529483550493707,,"[np.str_('10'), np.str_('20'), np.str_('05')]"
