Strategy,Model,Fold,Test_Acc,Test_F1,Test_Loss,Test_Participant,Test_Participants
Stratified,SDCNet,single,0.933799784714747,0.9341897809174796,0.2162437292780282,,
LOSO,SDCNet,1,0.7209051724137931,0.7164947665511835,0.910078671471826,01,
LOSO,SDCNet,2,0.6569264069264069,0.6476479464149563,1.4033420315552583,02,
LOSO,SDCNet,3,0.8374164810690423,0.8425863191067324,0.5110322564468514,03,
LOSO,SDCNet,4,0.7026737967914438,0.6846988931005817,1.1408800353789155,04,
LOSO,SDCNet,5,0.6908517350157729,0.6898045286959603,1.6913276844658938,05,
LOSO,SDCNet,6,0.8739316239316239,0.8741686277643409,0.3995709678428805,06,
LOSO,SDCNet,7,0.8091603053435115,0.8017379747347947,0.7467350033533352,07,
LOSO,SDCNet,8,0.6403887688984882,0.6282843131822019,1.678544310977598,08,
LOSO,SDCNet,9,0.7323628219484882,0.7317719844894751,0.8834234319902614,09,
LOSO,SDCNet,10,0.7043756670224119,0.7028400481809841,0.8521896909878628,10,
LOSO,SDCNet,11,0.8540772532188842,0.8546890480339436,0.5132075976740265,11,
LOSO,SDCNet,12,0.9335548172757475,0.9328941555659304,0.24558240291353103,12,
LOSO,SDCNet,13,0.8568353067814855,0.8580571095821535,0.6409406631431103,13,
LOSO,SDCNet,14,0.8120531154239019,0.8073971828382784,0.8871446485584554,14,
LOSO,SDCNet,15,0.8288482238966631,0.8273423048006101,0.5474216604025872,15,
LOSO,SDCNet,16,0.8870116156282999,0.8893655321976189,0.3498394933962897,16,
LOSO,SDCNet,17,0.8349726775956284,0.8341598239136643,0.47167679716329103,17,
LOSO,SDCNet,18,0.8073089700996677,0.803357065028936,0.7829303361912766,18,
LOSO,SDCNet,19,0.8600823045267489,0.8615012604330786,0.5866069790405133,19,
LOSO,SDCNet,20,0.9491891891891892,0.9488841651504109,0.15382868799808863,20,
LOGO,SDCNet,1,0.7782577393808495,0.7767109838802535,0.7677621898932625,,"[np.str_('01'), np.str_('18'), np.str_('16')]"
LOGO,SDCNet,2,0.7177624409734835,0.7188693198946025,0.9537442641348307,,"[np.str_('02'), np.str_('09'), np.str_('06')]"
LOGO,SDCNet,3,0.797864768683274,0.7909330286434876,0.7933492102126634,,"[np.str_('12'), np.str_('04'), np.str_('19')]"
LOGO,SDCNet,4,0.8155444126074498,0.8146403951754227,0.7128087501762098,,"[np.str_('17'), np.str_('14'), np.str_('03')]"
LOGO,SDCNet,5,0.7230714539637397,0.7230192255011382,0.9615215278653394,,"[np.str_('10'), np.str_('20'), np.str_('05')]"
