Strategy,Model,Fold,Test_Acc,Test_F1,Test_Participant,Test_Participants
Stratified,Contrastive_SDCNet,single,0.9545209903121636,0.953408822854259,,
LOSO,Contrastive_SDCNet,1,0.8415948275862069,0.8240854525934919,01,
LOSO,Contrastive_SDCNet,2,0.7326839826839827,0.7431015606601811,02,
LOSO,Contrastive_SDCNet,3,0.9086859688195991,0.9033980606953033,03,
LOSO,Contrastive_SDCNet,4,0.8085561497326204,0.8033039685158435,04,
LOSO,Contrastive_SDCNet,5,0.7707676130389064,0.7641666181999444,05,
LOSO,Contrastive_SDCNet,6,0.9166666666666666,0.912580408639963,06,
LOSO,Contrastive_SDCNet,7,0.8680479825517994,0.8553574271435216,07,
LOSO,Contrastive_SDCNet,8,0.7710583153347732,0.7704345416834827,08,
LOSO,Contrastive_SDCNet,9,0.883538633818589,0.879254854449148,09,
LOSO,Contrastive_SDCNet,10,0.7577374599786553,0.7274353283759653,10,
LOSO,Contrastive_SDCNet,11,0.9109442060085837,0.9136678244783818,11,
LOSO,Contrastive_SDCNet,12,0.9490586932447398,0.949466106485097,12,
LOSO,Contrastive_SDCNet,13,0.9009687836383208,0.9033133143777651,13,
LOSO,Contrastive_SDCNet,14,0.8365679264555669,0.834317097068113,14,
LOSO,Contrastive_SDCNet,15,0.8805166846071044,0.8826829030425194,15,
LOSO,Contrastive_SDCNet,16,0.91129883843717,0.9000081728735451,16,
LOSO,Contrastive_SDCNet,17,0.9147540983606557,0.9169006689650144,17,
LOSO,Contrastive_SDCNet,18,0.8117386489479512,0.803798093902949,18,
LOSO,Contrastive_SDCNet,19,0.8940329218106996,0.885987465152052,19,
LOSO,Contrastive_SDCNet,20,0.9535135135135135,0.9564615953737726,20,
LOGO,Contrastive_SDCNet,1,0.8747300215982722,0.8688700004739077,,"[np.str_('01'), np.str_('18'), np.str_('16')]"
LOGO,Contrastive_SDCNet,2,0.8285506719941882,0.8311241552846137,,"[np.str_('02'), np.str_('09'), np.str_('06')]"
LOGO,Contrastive_SDCNet,3,0.8615658362989324,0.856516597536369,,"[np.str_('12'), np.str_('04'), np.str_('19')]"
LOGO,Contrastive_SDCNet,4,0.8861031518624641,0.8834291105995495,,"[np.str_('17'), np.str_('14'), np.str_('03')]"
LOGO,Contrastive_SDCNet,5,0.8357625311055812,0.8264751339035824,,"[np.str_('10'), np.str_('20'), np.str_('05')]"
