Strategy,Model,Fold,Test_Acc,Test_F1,Test_Loss,Test_Participant,Test_Participants
Stratified,SDCNet,single,0.9434876210979548,0.9436430034831196,0.19525964374466528,,
LOSO,SDCNet,1,0.8006465517241379,0.8051763262615046,0.7523503835987428,01,
LOSO,SDCNet,2,0.7034632034632035,0.7023404664664721,1.3144062063394686,02,
LOSO,SDCNet,3,0.8463251670378619,0.8483513514772184,0.3891770681718941,03,
LOSO,SDCNet,4,0.7294117647058823,0.7014432399576063,1.016173401522764,04,
LOSO,SDCNet,5,0.68664563617245,0.6869012755504615,1.5602710488968217,05,
LOSO,SDCNet,6,0.8771367521367521,0.877112278038822,0.37875936759842765,06,
LOSO,SDCNet,7,0.8244274809160306,0.822324384136065,0.5714685775851476,07,
LOSO,SDCNet,8,0.6285097192224622,0.6178673326725836,1.744760895908265,08,
LOSO,SDCNet,9,0.812989921612542,0.8141646062841711,0.6870381962945987,09,
LOSO,SDCNet,10,0.6937033084311632,0.6950044168708203,1.0138312076937046,10,
LOSO,SDCNet,11,0.8390557939914163,0.8404467833913355,0.5217428592557304,11,
LOSO,SDCNet,12,0.9512735326688815,0.9513030130408895,0.1675529936563166,12,
LOSO,SDCNet,13,0.8439181916038752,0.8442250921309631,0.6090214554307154,13,
LOSO,SDCNet,14,0.8079673135852911,0.8069914992424027,0.8622017467244166,14,
LOSO,SDCNet,15,0.8008611410118407,0.7995166269269707,0.6791774668711748,15,
LOSO,SDCNet,16,0.8901795142555439,0.8891746820279864,0.38173796767182056,16,
LOSO,SDCNet,17,0.8677595628415301,0.8691579599796642,0.42044461208288786,17,
LOSO,SDCNet,18,0.8361018826135105,0.8352214560036446,0.6408949633843677,18,
LOSO,SDCNet,19,0.8405349794238683,0.8410216680495426,0.6852435669535962,19,
LOSO,SDCNet,20,0.9383783783783783,0.9378316075841955,0.17459933623026527,20,
LOGO,SDCNet,1,0.7724982001439885,0.7700348320401001,0.7574510055106694,,"[np.str_('01'), np.str_('18'), np.str_('16')]"
LOGO,SDCNet,2,0.7366509262622594,0.7374607857558017,1.0332942833515717,,"[np.str_('02'), np.str_('09'), np.str_('06')]"
LOGO,SDCNet,3,0.8316725978647687,0.828640343049072,0.6748301104029303,,"[np.str_('12'), np.str_('04'), np.str_('19')]"
LOGO,SDCNet,4,0.7904727793696275,0.7887131556020859,0.7016117266862304,,"[np.str_('17'), np.str_('14'), np.str_('03')]"
LOGO,SDCNet,5,0.7084962673302524,0.7093962726083014,1.0114890327362607,,"[np.str_('10'), np.str_('20'), np.str_('05')]"
