Strategy,Model,N_Folds,Mean_Accuracy,Std_Accuracy,Mean_F1,Std_F1,Mean_Loss
Stratified,SDCNet,1,0.9434876210979548,,0.9436430034831196,,0.19525964374466528
LOSO,SDCNet,20,0.8109644897898309,0.08446036033053236,0.809278803304666,0.087273287762116,0.7285426660935563
LOGO,SDCNet,5,0.7679581541941792,0.047704583654166924,0.7668490778110723,0.046018593858802095,0.8357352317375325
