Strategy,Model,Fold,Test_Acc,Test_F1,Test_Participant,Test_Participants
Stratified,Contrastive_SDCNet,single,0.9472551130247578,0.9455186176199016,,
LOSO,Contrastive_SDCNet,1,0.7693965517241379,0.7730377981559604,01,
LOSO,Contrastive_SDCNet,2,0.7283549783549783,0.7419563794839664,02,
LOSO,Contrastive_SDCNet,3,0.8596881959910914,0.8577089495949145,03,
LOSO,Contrastive_SDCNet,4,0.7893048128342246,0.7833989868363611,04,
LOSO,Contrastive_SDCNet,5,0.7266035751840169,0.7197056033884115,05,
LOSO,Contrastive_SDCNet,6,0.8867521367521367,0.8829566749828506,06,
LOSO,Contrastive_SDCNet,7,0.8702290076335878,0.8648783475638178,07,
LOSO,Contrastive_SDCNet,8,0.7494600431965442,0.7504100143152219,08,
LOSO,Contrastive_SDCNet,9,0.8174692049272116,0.8115307710492855,09,
LOSO,Contrastive_SDCNet,10,0.7310565635005336,0.6986317138832776,10,
LOSO,Contrastive_SDCNet,11,0.8669527896995708,0.8739785378524889,11,
LOSO,Contrastive_SDCNet,12,0.9523809523809523,0.9518275223435927,12,
LOSO,Contrastive_SDCNet,13,0.8579117330462863,0.8616576588700107,13,
LOSO,Contrastive_SDCNet,14,0.839632277834525,0.8470192380695322,14,
LOSO,Contrastive_SDCNet,15,0.83745963401507,0.8454756831149594,15,
LOSO,Contrastive_SDCNet,16,0.8500527983104541,0.841233772887732,16,
LOSO,Contrastive_SDCNet,17,0.9103825136612022,0.917225190071043,17,
LOSO,Contrastive_SDCNet,18,0.7630121816168328,0.7562176225492019,18,
LOSO,Contrastive_SDCNet,19,0.8868312757201646,0.8786911242473779,19,
LOSO,Contrastive_SDCNet,20,0.9351351351351351,0.9403990647137879,20,
LOGO,Contrastive_SDCNet,1,0.7649388048956084,0.7693074681921056,,"[np.str_('01'), np.str_('18'), np.str_('16')]"
LOGO,Contrastive_SDCNet,2,0.7802397384671268,0.7916217726848468,,"[np.str_('02'), np.str_('09'), np.str_('06')]"
LOGO,Contrastive_SDCNet,3,0.8320284697508897,0.8342082680463577,,"[np.str_('12'), np.str_('04'), np.str_('19')]"
LOGO,Contrastive_SDCNet,4,0.8578080229226361,0.8597320276058552,,"[np.str_('17'), np.str_('14'), np.str_('03')]"
LOGO,Contrastive_SDCNet,5,0.8151439744045503,0.8092743395744374,,"[np.str_('10'), np.str_('20'), np.str_('05')]"
