Strategy,Model,Fold,Test_Acc,Test_F1,Test_Participant,Test_Participants
Stratified,Contrastive_SDCNet,single,0.9526372443487621,0.950943845736233,,
LOSO,Contrastive_SDCNet,1,0.8545258620689655,0.8479478701477055,01,
LOSO,Contrastive_SDCNet,2,0.7359307359307359,0.7468181937770043,02,
LOSO,Contrastive_SDCNet,3,0.8685968819599109,0.8636992899888578,03,
LOSO,Contrastive_SDCNet,4,0.8032085561497326,0.7969502824981655,04,
LOSO,Contrastive_SDCNet,5,0.7749737118822292,0.7688892453065733,05,
LOSO,Contrastive_SDCNet,6,0.9027777777777778,0.9011736229930452,06,
LOSO,Contrastive_SDCNet,7,0.8604143947655398,0.8465173813438721,07,
LOSO,Contrastive_SDCNet,8,0.755939524838013,0.7603503023258753,08,
LOSO,Contrastive_SDCNet,9,0.8241881298992161,0.8117463937844748,09,
LOSO,Contrastive_SDCNet,10,0.7993596584845251,0.7667478066479575,10,
LOSO,Contrastive_SDCNet,11,0.8744635193133047,0.8826959470824359,11,
LOSO,Contrastive_SDCNet,12,0.9302325581395349,0.9326640984151954,12,
LOSO,Contrastive_SDCNet,13,0.8966630785791173,0.9012849832942615,13,
LOSO,Contrastive_SDCNet,14,0.8335035750766088,0.8396960840054684,14,
LOSO,Contrastive_SDCNet,15,0.8794402583423035,0.8779444151227705,15,
LOSO,Contrastive_SDCNet,16,0.8965153115100317,0.8848533172671104,16,
LOSO,Contrastive_SDCNet,17,0.9366120218579235,0.9425470033554996,17,
LOSO,Contrastive_SDCNet,18,0.8095238095238095,0.7994261657895002,18,
LOSO,Contrastive_SDCNet,19,0.8683127572016461,0.8623188717577303,19,
LOSO,Contrastive_SDCNet,20,0.9578378378378378,0.9617408812148902,20,
LOGO,Contrastive_SDCNet,1,0.8524118070554355,0.8474435288521024,,"[np.str_('01'), np.str_('18'), np.str_('16')]"
LOGO,Contrastive_SDCNet,2,0.8369051943334544,0.8370215530268977,,"[np.str_('02'), np.str_('09'), np.str_('06')]"
LOGO,Contrastive_SDCNet,3,0.8612099644128114,0.859866167043279,,"[np.str_('12'), np.str_('04'), np.str_('19')]"
LOGO,Contrastive_SDCNet,4,0.8918338108882522,0.8903536791114052,,"[np.str_('17'), np.str_('14'), np.str_('03')]"
LOGO,Contrastive_SDCNet,5,0.8105225737646641,0.8056455775068846,,"[np.str_('10'), np.str_('20'), np.str_('05')]"
