Strategy,Model,Fold,Test_Acc,Test_F1,Test_Participant,Test_Participants
Stratified,Contrastive_SDCNet,single,0.8920882669537137,0.8913598126003347,,
LOSO,Contrastive_SDCNet,1,0.6928879310344828,0.698552958862478,01,
LOSO,Contrastive_SDCNet,2,0.7067099567099567,0.725916866822566,02,
LOSO,Contrastive_SDCNet,3,0.8307349665924276,0.8292812980125398,03,
LOSO,Contrastive_SDCNet,4,0.7454545454545455,0.7390501436820115,04,
LOSO,Contrastive_SDCNet,5,0.7528916929547844,0.7434423227910049,05,
LOSO,Contrastive_SDCNet,6,0.8012820512820513,0.7911925344597113,06,
LOSO,Contrastive_SDCNet,7,0.8200654307524536,0.8063064565977202,07,
LOSO,Contrastive_SDCNet,8,0.7494600431965442,0.7527148023200742,08,
LOSO,Contrastive_SDCNet,9,0.7894736842105263,0.7892224829410669,09,
LOSO,Contrastive_SDCNet,10,0.7481323372465315,0.695193375995538,10,
LOSO,Contrastive_SDCNet,11,0.778969957081545,0.7860429395651339,11,
LOSO,Contrastive_SDCNet,12,0.920265780730897,0.9221707509534393,12,
LOSO,Contrastive_SDCNet,13,0.8406889128094726,0.8485713558281659,13,
LOSO,Contrastive_SDCNet,14,0.8192032686414709,0.8205557083270012,14,
LOSO,Contrastive_SDCNet,15,0.7739504843918191,0.7783228657011699,15,
LOSO,Contrastive_SDCNet,16,0.8321013727560718,0.8251246935693546,16,
LOSO,Contrastive_SDCNet,17,0.8655737704918033,0.8705572431377528,17,
LOSO,Contrastive_SDCNet,18,0.7718715393133998,0.7680785166044372,18,
LOSO,Contrastive_SDCNet,19,0.8559670781893004,0.8605695242094596,19,
LOSO,Contrastive_SDCNet,20,0.9308108108108109,0.9362748655467428,20,
LOGO,Contrastive_SDCNet,1,0.7267818574514039,0.7311831763287482,,"[np.str_('01'), np.str_('18'), np.str_('16')]"
LOGO,Contrastive_SDCNet,2,0.7475481293134763,0.7594196949999762,,"[np.str_('02'), np.str_('09'), np.str_('06')]"
LOGO,Contrastive_SDCNet,3,0.7882562277580071,0.783649354213459,,"[np.str_('12'), np.str_('04'), np.str_('19')]"
LOGO,Contrastive_SDCNet,4,0.7951289398280802,0.794880371124069,,"[np.str_('17'), np.str_('14'), np.str_('03')]"
LOGO,Contrastive_SDCNet,5,0.7365801635264841,0.7376384960528074,,"[np.str_('10'), np.str_('20'), np.str_('05')]"
