Model,Global_Mean_Accuracy,Global_Mean_F1
SDCNet,0.8397556627341874,0.8393494301804196
Transformer,0.7502627840027655,0.7478351859541862
LSTM,0.7127017204337639,0.7074448343539682
DNN,0.6313212193617069,0.6242831461246973
