Strategy,Model,Fold,Test_Acc,Test_F1,Test_Participant,Test_Participants
Stratified,Contrastive_SDCNet,single,0.9542518837459634,0.9517146829020451,,
LOSO,Contrastive_SDCNet,1,0.8523706896551724,0.8443040435561445,01,
LOSO,Contrastive_SDCNet,2,0.7261904761904762,0.732975486778148,02,
LOSO,Contrastive_SDCNet,3,0.8741648106904232,0.8701116787653637,03,
LOSO,Contrastive_SDCNet,4,0.8106951871657754,0.8094877792312052,04,
LOSO,Contrastive_SDCNet,5,0.7570977917981072,0.7397650428902848,05,
LOSO,Contrastive_SDCNet,6,0.9134615384615384,0.913527776566064,06,
LOSO,Contrastive_SDCNet,7,0.8636859323882224,0.8525816387746549,07,
LOSO,Contrastive_SDCNet,8,0.7926565874730022,0.7923564399121351,08,
LOSO,Contrastive_SDCNet,9,0.8633818589025756,0.8556035841786412,09,
LOSO,Contrastive_SDCNet,10,0.8036286019210246,0.7710714550722422,10,
LOSO,Contrastive_SDCNet,11,0.9045064377682404,0.9072604539819032,11,
LOSO,Contrastive_SDCNet,12,0.955703211517165,0.9550245948063978,12,
LOSO,Contrastive_SDCNet,13,0.9171151776103337,0.9207411475821209,13,
LOSO,Contrastive_SDCNet,14,0.8692543411644535,0.8725965233209049,14,
LOSO,Contrastive_SDCNet,15,0.8977395048439182,0.9014909989286705,15,
LOSO,Contrastive_SDCNet,16,0.9017951425554382,0.8903037242224108,16,
LOSO,Contrastive_SDCNet,17,0.9344262295081968,0.934328142420628,17,
LOSO,Contrastive_SDCNet,18,0.8438538205980066,0.8396676191005429,18,
LOSO,Contrastive_SDCNet,19,0.8775720164609053,0.8702324421892232,19,
LOSO,Contrastive_SDCNet,20,0.9556756756756757,0.9598085197893308,20,
LOGO,Contrastive_SDCNet,1,0.8596112311015118,0.8574000789611964,,"[np.str_('01'), np.str_('18'), np.str_('16')]"
LOGO,Contrastive_SDCNet,2,0.8390846349436978,0.837722794174355,,"[np.str_('02'), np.str_('09'), np.str_('06')]"
LOGO,Contrastive_SDCNet,3,0.8661921708185053,0.8591904964047221,,"[np.str_('12'), np.str_('04'), np.str_('19')]"
LOGO,Contrastive_SDCNet,4,0.8954154727793696,0.896506190349906,,"[np.str_('17'), np.str_('14'), np.str_('03')]"
LOGO,Contrastive_SDCNet,5,0.8119445431923213,0.800705320265127,,"[np.str_('10'), np.str_('20'), np.str_('05')]"
