Fraction,Method,Strategy,N_folds,Mean_Baseline,CI95_Baseline,Mean_Method,CI95_Method,Mean_Diff,Std_Diff,CI95_Diff,t_stat,t_pval,Shapiro_p,Normal_diff,W_stat,W_pval,Cohens_d,Sig_t (p<0.05),Sig_W (p<0.05)
70pct,random,LOSO,20,0.815,"[0.7729, 0.8570]",0.8666,"[0.8389, 0.8942]",0.0516,0.0454,"[0.0304, 0.0728]",5.0852,6.6e-05,0.5958,True,8.0,4.8e-05,1.1371,YES,YES
70pct,random,LOGO,5,0.8093,"[0.7556, 0.8629]",0.8661,"[0.8352, 0.8970]",0.0568,0.0245,"[0.0264, 0.0872]",5.1862,0.006578,0.8297,True,0.0,0.0625,2.3193,YES,no
70pct,random_shift,LOSO,20,0.815,"[0.7729, 0.8570]",0.8689,"[0.8425, 0.8954]",0.054,0.0502,"[0.0305, 0.0775]",4.8039,0.000123,0.0178,False,3.0,1e-05,1.0742,YES,YES
70pct,random_shift,LOGO,5,0.8093,"[0.7556, 0.8629]",0.8586,"[0.8414, 0.8757]",0.0493,0.0328,"[0.0086, 0.0900]",3.3655,0.028161,0.4572,True,0.0,0.0625,1.5051,YES,no
70pct,semihard,LOSO,20,0.815,"[0.7729, 0.8570]",0.8314,"[0.7989, 0.8639]",0.0164,0.0425,"[-0.0035, 0.0363]",1.7274,0.100314,0.9049,True,59.0,0.089695,0.3863,no,no
70pct,semihard,LOGO,5,0.8093,"[0.7556, 0.8629]",0.81,"[0.7631, 0.8570]",0.0008,0.0461,"[-0.0565, 0.0580]",0.0368,0.972439,0.2534,True,5.0,0.625,0.0164,no,no
70pct,semihard_shift,LOSO,20,0.815,"[0.7729, 0.8570]",0.8357,"[0.8052, 0.8663]",0.0208,0.0415,"[0.0013, 0.0402]",2.2366,0.037499,0.7676,True,54.0,0.058258,0.5001,YES,no
70pct,semihard_shift,LOGO,5,0.8093,"[0.7556, 0.8629]",0.8063,"[0.7753, 0.8372]",-0.003,0.0296,"[-0.0398, 0.0337]",-0.2285,0.830487,0.1681,True,6.0,0.8125,-0.1022,no,no
100pct,random,LOSO,20,0.835,"[0.7985, 0.8715]",0.8773,"[0.8509, 0.9038]",0.0423,0.036,"[0.0255, 0.0592]",5.2584,4.5e-05,0.4646,True,7.0,3.6e-05,1.1758,YES,YES
100pct,random,LOGO,5,0.811,"[0.7641, 0.8580]",0.8638,"[0.8434, 0.8843]",0.0528,0.0237,"[0.0234, 0.0822]",4.9868,0.007561,0.3851,True,0.0,0.0625,2.2302,YES,no
100pct,random_shift,LOSO,20,0.835,"[0.7985, 0.8715]",0.8818,"[0.8549, 0.9087]",0.0468,0.0348,"[0.0305, 0.0630]",6.0094,9e-06,0.4049,True,2.0,6e-06,1.3437,YES,YES
100pct,random_shift,LOGO,5,0.811,"[0.7641, 0.8580]",0.865,"[0.8435, 0.8865]",0.0539,0.0274,"[0.0199, 0.0880]",4.3973,0.011715,0.995,True,0.0,0.0625,1.9665,YES,no
100pct,semihard,LOSO,20,0.835,"[0.7985, 0.8715]",0.8519,"[0.8214, 0.8825]",0.0169,0.0416,"[-0.0026, 0.0364]",1.8185,0.084795,0.7493,True,52.0,0.048441,0.4066,no,YES
100pct,semihard,LOGO,5,0.811,"[0.7641, 0.8580]",0.8157,"[0.7161, 0.9152]",0.0046,0.0568,"[-0.0659, 0.0752]",0.1826,0.864027,0.0107,False,5.0,0.625,0.0816,no,no
100pct,semihard_shift,LOSO,20,0.835,"[0.7985, 0.8715]",0.8499,"[0.8195, 0.8804]",0.0149,0.0426,"[-0.0050, 0.0349]",1.5672,0.13358,0.0007,False,40.0,0.013617,0.3504,no,YES
100pct,semihard_shift,LOGO,5,0.811,"[0.7641, 0.8580]",0.8123,"[0.7718, 0.8529]",0.0013,0.0316,"[-0.0379, 0.0405]",0.0921,0.931042,0.7523,True,7.0,1.0,0.0412,no,no
