Strategy,Model,Fold,Test_Acc,Test_F1,Test_Participant,Test_Participants
Stratified,Contrastive_SDCNet,single,0.9235737351991389,0.921962270983761,,
LOSO,Contrastive_SDCNet,1,0.7995689655172413,0.7947350612593334,01,
LOSO,Contrastive_SDCNet,2,0.7922077922077922,0.7986863393475695,02,
LOSO,Contrastive_SDCNet,3,0.8697104677060133,0.8654690332752583,03,
LOSO,Contrastive_SDCNet,4,0.8021390374331551,0.7957365193147602,04,
LOSO,Contrastive_SDCNet,5,0.6961093585699264,0.6876862210173806,05,
LOSO,Contrastive_SDCNet,6,0.9134615384615384,0.9096297771895608,06,
LOSO,Contrastive_SDCNet,7,0.7938931297709924,0.7821919465650856,07,
LOSO,Contrastive_SDCNet,8,0.7624190064794817,0.7637208278290424,08,
LOSO,Contrastive_SDCNet,9,0.8756998880179171,0.8692059366864738,09,
LOSO,Contrastive_SDCNet,10,0.7257203842049093,0.7075239092370111,10,
LOSO,Contrastive_SDCNet,11,0.8658798283261803,0.8720634289450171,11,
LOSO,Contrastive_SDCNet,12,0.9258028792912514,0.9275479963130899,12,
LOSO,Contrastive_SDCNet,13,0.8966630785791173,0.8989951347508759,13,
LOSO,Contrastive_SDCNet,14,0.8028600612870276,0.8129313540495118,14,
LOSO,Contrastive_SDCNet,15,0.8353067814854682,0.847327915306571,15,
LOSO,Contrastive_SDCNet,16,0.8880675818373812,0.8782402030495319,16,
LOSO,Contrastive_SDCNet,17,0.8918032786885246,0.899707598529866,17,
LOSO,Contrastive_SDCNet,18,0.8039867109634552,0.7957765176409045,18,
LOSO,Contrastive_SDCNet,19,0.845679012345679,0.8469112962227815,19,
LOSO,Contrastive_SDCNet,20,0.9275675675675675,0.9310382496342188,20,
LOGO,Contrastive_SDCNet,1,0.8207343412526998,0.8192797048570982,,"[np.str_('01'), np.str_('18'), np.str_('16')]"
LOGO,Contrastive_SDCNet,2,0.7715219760261532,0.7834411764496562,,"[np.str_('02'), np.str_('09'), np.str_('06')]"
LOGO,Contrastive_SDCNet,3,0.7921708185053381,0.7954046597821872,,"[np.str_('12'), np.str_('04'), np.str_('19')]"
LOGO,Contrastive_SDCNet,4,0.835243553008596,0.8415748789183878,,"[np.str_('17'), np.str_('14'), np.str_('03')]"
LOGO,Contrastive_SDCNet,5,0.811589050835407,0.8038990557296984,,"[np.str_('10'), np.str_('20'), np.str_('05')]"
