Strategy,Model,Fold,Test_Acc,Test_F1,Test_Loss,Test_Participant,Test_Participants
Stratified,SDCNet,single,0.965016146393972,0.965127995266806,0.1203073287368687,,
LOSO,SDCNet,1,0.8200431034482759,0.8231131947921368,0.734260625816111,01,
LOSO,SDCNet,2,0.7424242424242424,0.738133135559431,1.223469008356978,02,
LOSO,SDCNet,3,0.8652561247216035,0.8673576694362802,0.423065398770482,03,
LOSO,SDCNet,4,0.7454545454545455,0.7188116990801433,1.0796855744661733,04,
LOSO,SDCNet,5,0.7360672975814931,0.734378122540636,1.2580538699981196,05,
LOSO,SDCNet,6,0.8632478632478633,0.8645503885206245,0.39349517576460147,06,
LOSO,SDCNet,7,0.8342420937840785,0.834541521386651,0.5405096977851643,07,
LOSO,SDCNet,8,0.6652267818574514,0.657518622866003,1.586824140364614,08,
LOSO,SDCNet,9,0.8006718924972005,0.8009948922780409,0.6630223834634762,09,
LOSO,SDCNet,10,0.7449306296691569,0.7254164910583989,0.8650482357057208,10,
LOSO,SDCNet,11,0.8819742489270386,0.8834663959952714,0.4099320157365114,11,
LOSO,SDCNet,12,0.9523809523809523,0.9521652292676224,0.17399420401500176,12,
LOSO,SDCNet,13,0.8708288482238966,0.8706862700115281,0.7203658315903155,13,
LOSO,SDCNet,14,0.8130745658835546,0.8121360467287974,0.902870885761449,14,
LOSO,SDCNet,15,0.8331539289558665,0.8321861031062482,0.5414972434763374,15,
LOSO,SDCNet,16,0.9186906019007391,0.9195201364406121,0.3399628017249162,16,
LOSO,SDCNet,17,0.8972677595628415,0.897187623937785,0.37065188802290155,17,
LOSO,SDCNet,18,0.8560354374307863,0.8523827274224233,0.5837143861574192,18,
LOSO,SDCNet,19,0.8981481481481481,0.8992197666248538,0.6139732581628449,19,
LOSO,SDCNet,20,0.961081081081081,0.9608171561609347,0.11371741717605777,20,
LOGO,SDCNet,1,0.8142548596112311,0.8149610913332108,0.7058784049500485,,"[np.str_('01'), np.str_('18'), np.str_('16')]"
LOGO,SDCNet,2,0.77588085724664,0.7772864960966868,0.8327402541399694,,"[np.str_('02'), np.str_('09'), np.str_('06')]"
LOGO,SDCNet,3,0.8473309608540925,0.8440366538291777,0.7095633128856796,,"[np.str_('12'), np.str_('04'), np.str_('19')]"
LOGO,SDCNet,4,0.8484957020057307,0.8491321675602787,0.638172363440765,,"[np.str_('17'), np.str_('14'), np.str_('03')]"
LOGO,SDCNet,5,0.7692854603626023,0.7710096223894746,0.9535277966761526,,"[np.str_('10'), np.str_('20'), np.str_('05')]"
