Strategy,Model,N_Folds,Mean_Accuracy,Std_Accuracy,Mean_F1,Std_F1,Mean_Loss
Stratified,SDCNet,1,0.965016146393972,,0.965127995266806,,0.1203073287368687
LOSO,SDCNet,20,0.835010007359041,0.07792998410282176,0.8322291596607212,0.0823115146939187,0.6769057021157598
LOGO,SDCNet,5,0.8110495680160593,0.03778195738882121,0.8112852062417657,0.036388861199182734,0.767976426418523
