Strategy,Model,Fold,Test_Acc,Test_F1,Test_Participant,Test_Participants
Stratified,Contrastive_SDCNet,single,0.9111948331539289,0.9095689457084365,,
LOSO,Contrastive_SDCNet,1,0.7640086206896551,0.7639901763582081,01,
LOSO,Contrastive_SDCNet,2,0.6991341991341992,0.7214705727851577,02,
LOSO,Contrastive_SDCNet,3,0.8652561247216035,0.8604002086055802,03,
LOSO,Contrastive_SDCNet,4,0.8010695187165775,0.7922270490677259,04,
LOSO,Contrastive_SDCNet,5,0.7318611987381703,0.7230206208266733,05,
LOSO,Contrastive_SDCNet,6,0.9123931623931624,0.9085371603447213,06,
LOSO,Contrastive_SDCNet,7,0.8516902944383861,0.8444802416755947,07,
LOSO,Contrastive_SDCNet,8,0.7213822894168467,0.7220666714715956,08,
LOSO,Contrastive_SDCNet,9,0.8163493840985442,0.8211504537537243,09,
LOSO,Contrastive_SDCNet,10,0.7513340448239061,0.7352364259939543,10,
LOSO,Contrastive_SDCNet,11,0.8208154506437768,0.8271603761331416,11,
LOSO,Contrastive_SDCNet,12,0.9114064230343301,0.9159479686133865,12,
LOSO,Contrastive_SDCNet,13,0.8751345532831001,0.8830799424976585,13,
LOSO,Contrastive_SDCNet,14,0.8437180796731358,0.8444085745479198,14,
LOSO,Contrastive_SDCNet,15,0.8277717976318623,0.8344462643654227,15,
LOSO,Contrastive_SDCNet,16,0.883843717001056,0.8777325103840116,16,
LOSO,Contrastive_SDCNet,17,0.9092896174863389,0.9172545711115557,17,
LOSO,Contrastive_SDCNet,18,0.7873754152823921,0.7874125123873786,18,
LOSO,Contrastive_SDCNet,19,0.8837448559670782,0.8738911478395122,19,
LOSO,Contrastive_SDCNet,20,0.8821621621621621,0.8900462973207651,20,
LOGO,Contrastive_SDCNet,1,0.8092152627789777,0.8107905613561761,,"[np.str_('01'), np.str_('18'), np.str_('16')]"
LOGO,Contrastive_SDCNet,2,0.7420995277878678,0.7491517199196163,,"[np.str_('02'), np.str_('09'), np.str_('06')]"
LOGO,Contrastive_SDCNet,3,0.8099644128113879,0.8140744420667847,,"[np.str_('12'), np.str_('04'), np.str_('19')]"
LOGO,Contrastive_SDCNet,4,0.8481375358166189,0.8508708870370586,,"[np.str_('17'), np.str_('14'), np.str_('03')]"
LOGO,Contrastive_SDCNet,5,0.7781727692854603,0.7764005898073097,,"[np.str_('10'), np.str_('20'), np.str_('05')]"
