Strategy,Model,Fold,Test_Acc,Test_F1,Test_Participant,Test_Participants
Stratified,Contrastive_SDCNet,single,0.9674381054897739,0.9666431656205843,,
LOSO,Contrastive_SDCNet,1,0.8459051724137931,0.8305758315943005,01,
LOSO,Contrastive_SDCNet,2,0.7943722943722944,0.7976179370169812,02,
LOSO,Contrastive_SDCNet,3,0.9008908685968819,0.8940359225360898,03,
LOSO,Contrastive_SDCNet,4,0.8117647058823529,0.8022173540156802,04,
LOSO,Contrastive_SDCNet,5,0.7781282860147214,0.772755609808392,05,
LOSO,Contrastive_SDCNet,6,0.9027777777777778,0.8878855807019311,06,
LOSO,Contrastive_SDCNet,7,0.8658669574700109,0.8517901299028924,07,
LOSO,Contrastive_SDCNet,8,0.8023758099352052,0.8021510598110725,08,
LOSO,Contrastive_SDCNet,9,0.8600223964165733,0.8499953833478012,09,
LOSO,Contrastive_SDCNet,10,0.8313767342582711,0.801183114478364,10,
LOSO,Contrastive_SDCNet,11,0.9012875536480687,0.9000321902339024,11,
LOSO,Contrastive_SDCNet,12,0.9689922480620154,0.9697425518126049,12,
LOSO,Contrastive_SDCNet,13,0.9181916038751345,0.9216767378132388,13,
LOSO,Contrastive_SDCNet,14,0.8549540347293156,0.8536307340047182,14,
LOSO,Contrastive_SDCNet,15,0.9214208826695371,0.9236486363680824,15,
LOSO,Contrastive_SDCNet,16,0.9271383315733897,0.9140673900972529,16,
LOSO,Contrastive_SDCNet,17,0.9650273224043716,0.9678165392351769,17,
LOSO,Contrastive_SDCNet,18,0.8571428571428571,0.8412683248243806,18,
LOSO,Contrastive_SDCNet,19,0.8868312757201646,0.8779513466179433,19,
LOSO,Contrastive_SDCNet,20,0.9524324324324325,0.955627234393904,20,
LOGO,Contrastive_SDCNet,1,0.8736501079913607,0.868303280594846,,"[np.str_('01'), np.str_('18'), np.str_('16')]"
LOGO,Contrastive_SDCNet,2,0.8525245187068652,0.852837811573814,,"[np.str_('02'), np.str_('09'), np.str_('06')]"
LOGO,Contrastive_SDCNet,3,0.8708185053380783,0.8740646137604896,,"[np.str_('12'), np.str_('04'), np.str_('19')]"
LOGO,Contrastive_SDCNet,4,0.8810888252148997,0.8805656053286457,,"[np.str_('17'), np.str_('14'), np.str_('03')]"
LOGO,Contrastive_SDCNet,5,0.8410949164592961,0.8319558083890327,,"[np.str_('10'), np.str_('20'), np.str_('05')]"
