Strategy,Model,Fold,Test_Acc,Test_F1,Test_Participant,Test_Participants
Stratified,Contrastive_SDCNet,single,0.9413347685683531,0.9394031762773362,,
LOSO,Contrastive_SDCNet,1,0.8329741379310345,0.8303306023490097,01,
LOSO,Contrastive_SDCNet,2,0.7575757575757576,0.7709834802833524,02,
LOSO,Contrastive_SDCNet,3,0.8797327394209354,0.8748538608723034,03,
LOSO,Contrastive_SDCNet,4,0.7561497326203208,0.7442445914314297,04,
LOSO,Contrastive_SDCNet,5,0.7655099894847529,0.7603342424671196,05,
LOSO,Contrastive_SDCNet,6,0.8824786324786325,0.8652463111427267,06,
LOSO,Contrastive_SDCNet,7,0.8462377317339149,0.8311286627437792,07,
LOSO,Contrastive_SDCNet,8,0.744060475161987,0.7429650073100308,08,
LOSO,Contrastive_SDCNet,9,0.8790593505039194,0.8735965821039252,09,
LOSO,Contrastive_SDCNet,10,0.7801494130202775,0.7535822591792595,10,
LOSO,Contrastive_SDCNet,11,0.871244635193133,0.8714516359530015,11,
LOSO,Contrastive_SDCNet,12,0.9579180509413068,0.9551999427134136,12,
LOSO,Contrastive_SDCNet,13,0.8536060279870828,0.8576314098045564,13,
LOSO,Contrastive_SDCNet,14,0.8294177732379979,0.8337504119461094,14,
LOSO,Contrastive_SDCNet,15,0.8568353067814855,0.8567598423366736,15,
LOSO,Contrastive_SDCNet,16,0.8975712777191129,0.8912505872811742,16,
LOSO,Contrastive_SDCNet,17,0.921311475409836,0.926406877145205,17,
LOSO,Contrastive_SDCNet,18,0.831672203765227,0.8264008190450746,18,
LOSO,Contrastive_SDCNet,19,0.8281893004115226,0.825178081764134,19,
LOSO,Contrastive_SDCNet,20,0.9264864864864865,0.9305895320742712,20,
LOGO,Contrastive_SDCNet,1,0.8560115190784737,0.8516578766220556,,"[np.str_('01'), np.str_('18'), np.str_('16')]"
LOGO,Contrastive_SDCNet,2,0.8096621867054122,0.8143356543264639,,"[np.str_('02'), np.str_('09'), np.str_('06')]"
LOGO,Contrastive_SDCNet,3,0.8423487544483986,0.8392784045330767,,"[np.str_('12'), np.str_('04'), np.str_('19')]"
LOGO,Contrastive_SDCNet,4,0.8800143266475645,0.8784205800405752,,"[np.str_('17'), np.str_('14'), np.str_('03')]"
LOGO,Contrastive_SDCNet,5,0.8076786349093494,0.8011648023694877,,"[np.str_('10'), np.str_('20'), np.str_('05')]"
